clip_name,source_time_seconds,duration_ms,score,average_abs,peak_abs,file_path
01_t0005.275_score4470.wav,5.275,71.0,4469.63,1315.29,14092,/Users/castao/Desktop/KeyboardSoundApp/snippet_candidates/01_t0005.275_score4470.wav
02_t0010.895_score3479.wav,10.895,71.0,3478.77,600.55,12153,/Users/castao/Desktop/KeyboardSoundApp/snippet_candidates/02_t0010.895_score3479.wav
03_t0011.075_score3915.wav,11.075,71.0,3915.42,805.47,13422,/Users/castao/Desktop/KeyboardSoundApp/snippet_candidates/03_t0011.075_score3915.wav
04_t0012.615_score4711.wav,12.615,71.0,4711.43,1271.76,15115,/Users/castao/Desktop/KeyboardSoundApp/snippet_candidates/04_t0012.615_score4711.wav
05_t0014.215_score4678.wav,14.215,71.0,4678.22,914.69,16020,/Users/castao/Desktop/KeyboardSoundApp/snippet_candidates/05_t0014.215_score4678.wav
06_t0014.385_score3943.wav,14.385,71.0,3943.24,640.58,13927,/Users/castao/Desktop/KeyboardSoundApp/snippet_candidates/06_t0014.385_score3943.wav
07_t0024.665_score3760.wav,24.665,71.0,3760.05,290.36,14215,/Users/castao/Desktop/KeyboardSoundApp/snippet_candidates/07_t0024.665_score3760.wav
08_t0037.125_score4302.wav,37.125,71.0,4302.28,879.90,14615,/Users/castao/Desktop/KeyboardSoundApp/snippet_candidates/08_t0037.125_score4302.wav
09_t0037.300_score3400.wav,37.300,71.0,3400.42,650.36,11688,/Users/castao/Desktop/KeyboardSoundApp/snippet_candidates/09_t0037.300_score3400.wav
10_t0054.430_score3801.wav,54.430,71.0,3801.26,707.15,13144,/Users/castao/Desktop/KeyboardSoundApp/snippet_candidates/10_t0054.430_score3801.wav
11_t0064.645_score5058.wav,64.645,71.0,5058.39,1101.38,17202,/Users/castao/Desktop/KeyboardSoundApp/snippet_candidates/11_t0064.645_score5058.wav
12_t0078.635_score3401.wav,78.635,71.0,3401.06,1529.15,9284,/Users/castao/Desktop/KeyboardSoundApp/snippet_candidates/12_t0078.635_score3401.wav
13_t0213.765_score3926.wav,213.765,71.0,3926.40,1447.09,11405,/Users/castao/Desktop/KeyboardSoundApp/snippet_candidates/13_t0213.765_score3926.wav
14_t0220.200_score3617.wav,220.200,71.0,3617.04,2271.03,7691,/Users/castao/Desktop/KeyboardSoundApp/snippet_candidates/14_t0220.200_score3617.wav
15_t0242.125_score6177.wav,242.125,71.0,6176.93,1646.37,19854,/Users/castao/Desktop/KeyboardSoundApp/snippet_candidates/15_t0242.125_score6177.wav
16_t0246.135_score3374.wav,246.135,71.0,3373.50,378.52,12420,/Users/castao/Desktop/KeyboardSoundApp/snippet_candidates/16_t0246.135_score3374.wav
17_t0265.690_score3463.wav,265.690,71.0,3462.76,659.00,11949,/Users/castao/Desktop/KeyboardSoundApp/snippet_candidates/17_t0265.690_score3463.wav
18_t0373.830_score3431.wav,373.830,71.0,3431.14,639.35,11939,/Users/castao/Desktop/KeyboardSoundApp/snippet_candidates/18_t0373.830_score3431.wav
19_t0374.375_score3816.wav,374.375,71.0,3815.86,647.83,13656,/Users/castao/Desktop/KeyboardSoundApp/snippet_candidates/19_t0374.375_score3816.wav
20_t0451.420_score3556.wav,451.420,71.0,3555.71,683.55,12226,/Users/castao/Desktop/KeyboardSoundApp/snippet_candidates/20_t0451.420_score3556.wav
21_t0451.710_score3488.wav,451.710,71.0,3487.90,1036.55,10935,/Users/castao/Desktop/KeyboardSoundApp/snippet_candidates/21_t0451.710_score3488.wav
22_t0464.775_score3763.wav,464.775,71.0,3762.83,1254.36,11360,/Users/castao/Desktop/KeyboardSoundApp/snippet_candidates/22_t0464.775_score3763.wav
23_t0475.905_score4348.wav,475.905,71.0,4348.16,800.37,15039,/Users/castao/Desktop/KeyboardSoundApp/snippet_candidates/23_t0475.905_score4348.wav
24_t0529.160_score3753.wav,529.160,170.0,3753.41,2552.88,8724,/Users/castao/Desktop/KeyboardSoundApp/snippet_candidates/24_t0529.160_score3753.wav
