clip_name,source_time_seconds,duration_ms,score,average_abs,peak_abs,file_path
01_t0011.012_score5929.wav,11.012,40.0,5929.47,2848.46,15808,/Users/castao/Desktop/KeyboardSoundApp/stopwatch_candidates/winding/01_t0011.012_score5929.wav
02_t0011.264_score6393.wav,11.264,40.0,6393.17,2748.54,17743,/Users/castao/Desktop/KeyboardSoundApp/stopwatch_candidates/winding/02_t0011.264_score6393.wav
03_t0011.736_score6988.wav,11.736,40.0,6987.71,3413.93,18076,/Users/castao/Desktop/KeyboardSoundApp/stopwatch_candidates/winding/03_t0011.736_score6988.wav
04_t0011.852_score6122.wav,11.852,52.0,6121.94,2688.67,16709,/Users/castao/Desktop/KeyboardSoundApp/stopwatch_candidates/winding/04_t0011.852_score6122.wav
05_t0012.984_score6265.wav,12.984,40.0,6264.72,3637.91,14396,/Users/castao/Desktop/KeyboardSoundApp/stopwatch_candidates/winding/05_t0012.984_score6265.wav
06_t0013.196_score7031.wav,13.196,40.0,7031.36,3461.72,17952,/Users/castao/Desktop/KeyboardSoundApp/stopwatch_candidates/winding/06_t0013.196_score7031.wav
07_t0013.268_score7468.wav,13.268,40.0,7467.77,3409.19,20041,/Users/castao/Desktop/KeyboardSoundApp/stopwatch_candidates/winding/07_t0013.268_score7468.wav
08_t0013.380_score6441.wav,13.380,40.0,6440.92,2762.12,17734,/Users/castao/Desktop/KeyboardSoundApp/stopwatch_candidates/winding/08_t0013.380_score6441.wav
09_t0013.492_score6347.wav,13.492,40.0,6346.95,3385.93,15513,/Users/castao/Desktop/KeyboardSoundApp/stopwatch_candidates/winding/09_t0013.492_score6347.wav
10_t0013.656_score6230.wav,13.656,40.0,6230.48,3086.94,15897,/Users/castao/Desktop/KeyboardSoundApp/stopwatch_candidates/winding/10_t0013.656_score6230.wav
11_t0015.264_score6129.wav,15.264,40.0,6128.87,1744.23,19955,/Users/castao/Desktop/KeyboardSoundApp/stopwatch_candidates/winding/11_t0015.264_score6129.wav
12_t0015.608_score6111.wav,15.608,40.0,6110.69,2263.59,17866,/Users/castao/Desktop/KeyboardSoundApp/stopwatch_candidates/winding/12_t0015.608_score6111.wav
13_t0015.792_score6437.wav,15.792,40.0,6436.85,2646.26,17968,/Users/castao/Desktop/KeyboardSoundApp/stopwatch_candidates/winding/13_t0015.792_score6437.wav
14_t0015.916_score7613.wav,15.916,40.0,7612.52,3625.19,19659,/Users/castao/Desktop/KeyboardSoundApp/stopwatch_candidates/winding/14_t0015.916_score7613.wav
15_t0016.048_score6308.wav,16.048,48.0,6307.95,2526.79,18340,/Users/castao/Desktop/KeyboardSoundApp/stopwatch_candidates/winding/15_t0016.048_score6308.wav
16_t0016.232_score6920.wav,16.232,52.0,6919.62,3843.87,16217,/Users/castao/Desktop/KeyboardSoundApp/stopwatch_candidates/winding/16_t0016.232_score6920.wav
